chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr10	19077124	19077275	11	NA	NA	NA	NA	43	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr10	19427758	19427859	7	NA	NA	NA	NA	25	17	NA	NA	NA	NA	NA	NA	20	17	NA	NA	NA	NA	20	13
chr10	19569410	19569681	15	NA	NA	NA	NA	NA	NA	20	3	NA	NA	25	6	25	1	NA	NA	NA	NA	NA	NA
chr10	19627477	19627552	10	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	19653662	19653808	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	18	NA	NA
chr10	19654140	19654203	10	NA	NA	NA	NA	30	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	19791033	19791180	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	22	NA	NA	NA	NA
chr10	19868119	19868334	13	NA	NA	34	10	NA	NA	21	0	NA	NA	23	7	NA	NA	NA	NA	26	9	NA	NA
chr10	19869411	19869618	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	2	NA	NA	NA	NA	NA	NA
chr10	19870182	19870232	5	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	19890669	19890739	7	NA	NA	NA	NA	NA	NA	21	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	20031839	20031944	12	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA	28	5	NA	NA	NA	NA	NA	NA
chr10	20033123	20033165	3	NA	NA	NA	NA	20	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	20627027	20627116	6	NA	NA	NA	NA	NA	NA	NA	NA	24	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	20812655	20812733	7	NA	NA	NA	NA	20	12	20	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	20879647	20879824	16	NA	NA	NA	NA	54	19	NA	NA	NA	NA	NA	NA	26	13	NA	NA	NA	NA	30	0
chr10	20916543	20916649	5	NA	NA	NA	NA	24	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	20986572	20986650	13	NA	NA	NA	NA	NA	NA	42	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21016085	21016163	9	NA	NA	29	7	NA	NA	NA	NA	NA	NA	NA	NA	31	3	NA	NA	NA	NA	NA	NA
chr10	21140937	21141075	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	8	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21713003	21713061	9	NA	NA	32	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21754096	21754337	8	NA	NA	NA	NA	NA	NA	23	9	25	10	NA	NA	23	10	NA	NA	NA	NA	NA	NA
chr10	21777927	21778381	18	20	7	27	3	37	18	NA	NA	NA	NA	36	15	44	10	21	6	NA	NA	NA	NA
chr10	21868391	21868444	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	3	NA	NA	NA	NA
chr10	21868749	21868986	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	1	NA	NA	NA	NA	NA	NA
chr10	21869097	21869377	16	NA	NA	39	5	NA	NA	NA	NA	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA
chr10	21869545	21870035	25	40	12	NA	NA	22	7	28	2	20	5	27	2	NA	NA	NA	NA	22	5	20	0
chr10	21870210	21870303	6	NA	NA	NA	NA	NA	NA	21	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21870597	21871033	21	43	3	44	5	40	7	32	3	NA	NA	42	4	29	2	39	4	46	5	37	8
chr10	21878770	21879013	13	25	1	33	4	NA	NA	25	0	NA	NA	26	4	NA	NA	27	2	27	2	NA	NA
chr10	21879162	21879296	12	NA	NA	24	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	7	35	10	NA	NA
chr10	21893162	21893291	6	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21993533	21993802	13	NA	NA	NA	NA	20	1	21	0	20	0	NA	NA	26	1	NA	NA	32	3	NA	NA
chr10	21993868	21994106	14	NA	NA	NA	NA	24	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	9
chr10	22365274	22365386	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	12
chr10	22450564	22450705	15	NA	NA	33	11	NA	NA	NA	NA	NA	NA	21	0	NA	NA	25	9	NA	NA	NA	NA
chr10	22599935	22599991	5	NA	NA	NA	NA	NA	NA	NA	NA	21	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	22683495	22683740	7	NA	NA	NA	NA	23	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23210434	23210442	5	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23506530	23506879	22	53	15	NA	NA	32	2	NA	NA	NA	NA	35	8	28	9	30	11	21	8	53	4
chr10	23614704	23614925	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	3	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23669660	23669938	9	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23670039	23670070	4	NA	NA	20	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23869179	23869250	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	1	NA	NA	NA	NA	NA	NA
chr10	23943586	23943727	13	NA	NA	24	8	NA	NA	34	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23955465	23955696	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0	23	0
chr10	24037022	24037228	8	NA	NA	22	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	24315383	24315603	19	29	5	27	10	NA	NA	NA	NA	NA	NA	22	10	30	4	NA	NA	20	0	22	12
chr10	24316020	24316262	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	9	NA	NA	NA	NA	NA	NA
chr10	24345179	24345300	8	NA	NA	NA	NA	NA	NA	22	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	24431319	24431442	7	36	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	3	22	6	NA	NA	NA	NA
chr10	24432069	24432234	10	NA	NA	NA	NA	29	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	25034267	25034325	7	NA	NA	NA	NA	NA	NA	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	25152458	25152683	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20	NA	NA	NA	NA	NA	NA	NA	NA
chr10	25178173	25178368	7	NA	NA	NA	NA	34	30	NA	NA	NA	NA	21	19	NA	NA	NA	NA	24	23	NA	NA
chr10	25178971	25179094	6	NA	NA	22	21	26	21	NA	NA	NA	NA	32	31	NA	NA	NA	NA	NA	NA	NA	NA
chr10	26047538	26047926	13	NA	NA	NA	NA	21	20	22	19	NA	NA	24	22	27	26	20	18	NA	NA	NA	NA
chr10	26492443	26492488	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10	NA	NA	NA	NA	NA	NA
chr10	27794274	27794423	12	22	15	NA	NA	NA	NA	23	16	NA	NA	NA	NA	NA	NA	NA	NA	22	2	NA	NA
chr10	27794796	27794906	10	NA	NA	33	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	27796407	27796533	7	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	28866425	28866550	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15	NA	NA	NA	NA	NA	NA	25	2
chr10	28866920	28866971	6	NA	NA	NA	NA	NA	NA	24	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	29920290	29920400	15	NA	NA	NA	NA	NA	NA	NA	NA	26	14	NA	NA	26	4	NA	NA	NA	NA	32	6
chr10	30320541	30320616	8	NA	NA	21	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	30338349	30338497	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	6	NA	NA	NA	NA	33	2
chr10	30522688	30522741	6	NA	NA	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	30562279	30562343	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	15	NA	NA	NA	NA	NA	NA	NA	NA
chr10	33344090	33344212	7	24	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	33670738	33670805	7	NA	NA	NA	NA	NA	NA	27	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	33739214	33739264	8	NA	NA	NA	NA	22	15	NA	NA	NA	NA	23	5	NA	NA	NA	NA	NA	NA	NA	NA
chr10	34001883	34002017	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	7	NA	NA
chr10	34017165	34017197	4	NA	NA	25	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	34069431	34069482	9	NA	NA	NA	NA	NA	NA	NA	NA	35	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	34618774	34618972	11	NA	NA	33	32	NA	NA	25	22	NA	NA	NA	NA	NA	NA	NA	NA	32	31	30	26
chr10	34795037	34795145	6	NA	NA	NA	NA	NA	NA	28	24	NA	NA	38	30	NA	NA	NA	NA	NA	NA	NA	NA
chr10	36856430	36856502	15	NA	NA	24	8	NA	NA	NA	NA	NA	NA	NA	NA	43	9	NA	NA	NA	NA	32	23
chr10	39333082	39333203	7	NA	NA	25	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39679559	39679760	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	8	NA	NA
chr10	39861443	39861650	9	NA	NA	21	8	NA	NA	NA	NA	NA	NA	22	10	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39911219	39911552	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	2	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39911711	39911777	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	9	NA	NA	NA	NA	NA	NA
chr10	39966615	39966743	11	NA	NA	NA	NA	NA	NA	NA	NA	29	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39966893	39966994	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	2	22	4
chr10	39977246	39977523	14	NA	NA	NA	NA	NA	NA	31	24	NA	NA	NA	NA	25	9	NA	NA	NA	NA	NA	NA
chr10	40021928	40022140	14	NA	NA	29	4	25	4	NA	NA	NA	NA	NA	NA	20	4	29	2	NA	NA	NA	NA
chr10	40068403	40068509	6	25	0	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	40069484	40069541	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	40603179	40603235	6	NA	NA	NA	NA	NA	NA	NA	NA	20	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	40604294	40604331	6	NA	NA	NA	NA	NA	NA	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41169998	41170163	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	9	NA	NA	NA	NA	NA	NA
chr10	41207278	41207405	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA
chr10	41209905	41210213	19	NA	NA	NA	NA	28	16	NA	NA	NA	NA	NA	NA	NA	NA	44	8	29	12	NA	NA
chr10	41238369	41238521	8	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41529043	41529109	5	NA	NA	NA	NA	25	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41529263	41529387	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	25	NA	NA
chr10	41529605	41529780	16	20	5	21	8	NA	NA	NA	NA	NA	NA	55	24	40	7	NA	NA	NA	NA	NA	NA
chr10	41529951	41529994	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41607443	41607503	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	10	NA	NA	NA	NA
chr10	41777292	41777486	7	NA	NA	NA	NA	21	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41792676	41793128	11	NA	NA	NA	NA	28	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41995306	41995601	31	34	19	NA	NA	70	25	22	19	NA	NA	NA	NA	31	1	28	18	30	11	81	25
chr10	42282259	42282443	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1	NA	NA	NA	NA
chr10	42304772	42304914	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	6	NA	NA	NA	NA	NA	NA	NA	NA
chr10	42334023	42334090	9	NA	NA	NA	NA	25	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	32	NA	NA
chr10	42350918	42350973	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	10	NA	NA
chr10	42351614	42351798	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	3	NA	NA
chr10	42357023	42357359	15	NA	NA	NA	NA	30	9	20	1	NA	NA	27	10	NA	NA	35	7	NA	NA	NA	NA
chr10	42740942	42741144	14	NA	NA	NA	NA	21	17	NA	NA	20	6	25	19	NA	NA	28	17	NA	NA	NA	NA
chr10	42741689	42741821	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	10
chr10	42941691	42941823	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA
chr10	43176098	43176342	12	NA	NA	NA	NA	21	19	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	43198421	43198550	11	NA	NA	NA	NA	NA	NA	NA	NA	29	3	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	43279022	43279137	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	30	NA	NA	NA	NA	NA	NA	NA	NA
chr10	43298146	43298395	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	5	NA	NA	NA	NA	26	12
chr10	43298565	43298706	14	NA	NA	32	6	22	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	43360906	43361272	10	NA	NA	NA	NA	24	20	NA	NA	NA	NA	NA	NA	NA	NA	20	16	NA	NA	NA	NA
chr10	43694115	43694135	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	27	NA	NA	NA	NA	NA	NA
chr10	43868538	43868674	13	NA	NA	NA	NA	NA	NA	23	5	NA	NA	NA	NA	34	10	NA	NA	NA	NA	NA	NA
chr10	43954941	43955021	4	28	22	NA	NA	20	9	31	16	25	15	NA	NA	34	19	NA	NA	27	16	23	14
chr10	43955296	43955507	7	NA	NA	NA	NA	20	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	44196268	44196453	9	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	44209049	44209121	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	7	NA	NA
chr10	44249366	44249614	16	NA	NA	NA	NA	42	16	26	10	33	18	34	13	24	12	NA	NA	41	15	NA	NA
chr10	44441696	44441834	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	21	NA	NA	NA	NA	NA	NA
chr10	44849911	44849964	4	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	45297709	45297748	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	5	NA	NA	NA	NA
chr10	50312246	50312472	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	23	NA	NA
chr10	50312642	50312694	7	33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	52101243	52101296	6	22	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	52248248	52248371	6	NA	NA	NA	NA	NA	NA	21	21	30	25	31	27	NA	NA	NA	NA	NA	NA	29	27
chr10	52248508	52248623	4	NA	NA	NA	NA	23	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	52265206	52265673	20	25	25	NA	NA	44	43	NA	NA	25	25	NA	NA	NA	NA	NA	NA	20	18	NA	NA
chr10	52410442	52410578	8	NA	NA	NA	NA	27	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	52411318	52411412	9	NA	NA	NA	NA	NA	NA	28	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	53169409	53169516	5	NA	NA	NA	NA	20	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	53349772	53349825	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	0	NA	NA	NA	NA
chr10	53471603	53471760	7	NA	NA	NA	NA	21	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	53795608	53795677	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	56217047	56217135	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	23	21	NA	NA
chr10	56958889	56958949	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	16	NA	NA	NA	NA
chr10	57683694	57683728	4	NA	NA	20	17	NA	NA	31	28	NA	NA	NA	NA	NA	NA	24	22	NA	NA	NA	NA
chr10	57686536	57686802	8	20	15	33	27	27	17	34	29	27	21	38	27	36	29	28	25	45	42	28	25
chr10	57686982	57687242	11	123	116	78	73	148	136	95	89	71	63	137	121	139	129	133	127	99	89	140	122
chr10	57687374	57687563	8	52	44	45	38	46	36	32	26	59	50	58	51	50	38	NA	NA	28	26	38	33
chr10	57688076	57688129	3	27	23	28	20	38	28	36	34	33	32	35	29	42	35	37	33	30	22	28	23
chr10	57691138	57691248	3	22	19	29	19	30	22	26	19	NA	NA	25	20	27	21	25	23	21	16	22	14
chr10	57694661	57694779	5	38	30	43	37	51	44	57	49	35	28	56	46	31	25	37	24	30	26	39	35
chr10	57695209	57695263	6	97	86	119	109	65	62	82	70	98	88	80	73	90	73	101	93	72	65	90	82
chr10	57699381	57699493	5	NA	NA	NA	NA	22	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	57699617	57699683	4	28	25	22	20	28	28	NA	NA	NA	NA	22	20	23	19	NA	NA	34	31	NA	NA
chr10	57702209	57702322	4	81	74	81	75	70	57	77	62	74	65	92	85	91	78	82	70	90	78	68	57
chr10	57909392	57909527	9	NA	NA	NA	NA	23	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	13
