chr	start	end	CpG	WJ1-N	WJ1-X	WJ2-N	WJ2-X	WJ3-N	WJ3-X	WJ5-N	WJ5-X	WJ7-N	WJ7-X
chr10	33847292	33847331	7	NA	NA	NA	NA	24	22	NA	NA	NA	NA
chr10	34017165	34017197	4	NA	NA	NA	NA	22	6	NA	NA	NA	NA
chr10	34618830	34618884	8	NA	NA	20	19	NA	NA	NA	NA	35	32
chr10	39966704	39966868	16	NA	NA	47	12	NA	NA	NA	NA	NA	NA
chr10	40602513	40602728	11	NA	NA	29	1	NA	NA	NA	NA	NA	NA
chr10	40790849	40790891	6	NA	NA	NA	NA	NA	NA	23	18	NA	NA
chr10	41238514	41238763	10	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr10	41529706	41529899	24	24	4	52	4	NA	NA	42	4	33	10
chr10	41917113	41917264	12	NA	NA	43	40	NA	NA	NA	NA	NA	NA
chr10	41994982	41995044	11	33	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	41995553	41995601	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0
chr10	41997243	41997314	8	NA	NA	NA	NA	27	2	NA	NA	NA	NA
chr10	42304772	42304943	8	NA	NA	NA	NA	NA	NA	20	11	NA	NA
chr10	42355858	42355912	7	NA	NA	21	15	NA	NA	NA	NA	NA	NA
chr10	42893369	42893423	5	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	43198568	43198590	6	NA	NA	NA	NA	24	0	NA	NA	NA	NA
chr10	43298565	43298601	9	NA	NA	NA	NA	27	0	NA	NA	NA	NA
chr10	43621257	43621433	8	27	1	NA	NA	NA	NA	NA	NA	NA	NA
chr10	43954941	43955021	4	21	7	27	11	32	11	NA	NA	25	9
chr10	43955296	43955507	8	NA	NA	NA	NA	NA	NA	NA	NA	23	8
chr10	44249424	44249535	7	NA	NA	NA	NA	25	0	NA	NA	NA	NA
chr10	45297581	45297690	15	NA	NA	NA	NA	30	0	26	9	26	3
chr10	50615672	50615734	5	NA	NA	NA	NA	NA	NA	NA	NA	25	25
chr10	52248248	52248371	6	NA	NA	NA	NA	NA	NA	NA	NA	24	23
chr10	52248508	52248623	4	22	20	NA	NA	NA	NA	NA	NA	22	17
chr10	57683694	57683728	4	NA	NA	37	31	NA	NA	22	20	NA	NA
chr10	57686551	57686802	7	NA	NA	30	24	29	19	22	15	28	18
chr10	57687023	57687196	10	68	57	90	77	119	104	113	91	102	84
chr10	57687374	57687563	11	27	23	56	50	35	29	43	35	31	28
chr10	57691138	57691248	3	25	15	NA	NA	23	17	20	12	NA	NA
chr10	57694661	57694875	9	39	29	58	49	57	41	53	41	44	36
chr10	57695209	57695263	6	64	64	65	57	91	82	58	54	60	55
chr10	57699651	57699683	3	20	20	23	22	NA	NA	NA	NA	NA	NA
chr10	57702209	57702322	4	46	27	77	43	66	39	57	34	65	41
chr10	57718093	57718148	8	NA	NA	NA	NA	NA	NA	NA	NA	28	0
chr10	59342124	59342239	15	29	5	32	7	NA	NA	32	10	NA	NA
chr10	59648699	59648774	7	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr10	59654636	59654682	7	21	1	NA	NA	NA	NA	NA	NA	NA	NA
chr10	59740383	59740529	15	NA	NA	26	2	NA	NA	NA	NA	31	6
chr10	60063461	60063485	5	NA	NA	NA	NA	NA	NA	NA	NA	25	20
chr10	60149915	60149975	7	21	11	NA	NA	NA	NA	NA	NA	NA	NA
chr10	60215373	60215557	7	NA	NA	NA	NA	NA	NA	NA	NA	27	15
chr10	60293176	60293406	12	NA	NA	NA	NA	NA	NA	NA	NA	41	5
chr10	61440883	61441059	13	NA	NA	NA	NA	40	25	NA	NA	NA	NA
chr10	61912190	61912251	9	NA	NA	27	1	NA	NA	NA	NA	NA	NA
chr10	61912634	61912683	4	NA	NA	NA	NA	NA	NA	NA	NA	21	2
chr10	62006515	62006564	5	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr10	62844335	62844457	10	NA	NA	28	18	NA	NA	NA	NA	NA	NA
chr10	62884506	62884522	5	23	23	NA	NA	NA	NA	NA	NA	NA	NA
chr10	62892248	62892454	16	NA	NA	NA	NA	25	4	24	4	24	3
chr10	66657742	66657795	5	20	17	NA	NA	NA	NA	NA	NA	NA	NA
chr10	67001697	67001755	7	21	10	NA	NA	NA	NA	NA	NA	NA	NA
chr10	69028851	69029085	13	NA	NA	28	27	NA	NA	25	25	22	21
chr10	70060990	70061065	4	NA	NA	21	16	NA	NA	NA	NA	NA	NA
chr10	70061634	70061700	7	NA	NA	NA	NA	NA	NA	25	5	NA	NA
chr10	70062019	70062072	13	NA	NA	NA	NA	39	0	NA	NA	NA	NA
chr10	74499961	74500002	7	NA	NA	23	12	NA	NA	NA	NA	NA	NA
chr10	75322948	75323018	6	NA	NA	NA	NA	NA	NA	20	4	NA	NA
chr10	75394921	75395055	6	NA	NA	25	6	NA	NA	NA	NA	NA	NA
chr10	75902990	75903104	7	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr10	75905221	75905277	6	21	3	NA	NA	NA	NA	NA	NA	23	0
chr10	76077132	76077231	6	NA	NA	26	26	NA	NA	NA	NA	NA	NA
chr10	76628873	76628994	11	20	11	20	5	NA	NA	32	8	NA	NA
chr10	76978502	76978655	14	NA	NA	NA	NA	35	3	NA	NA	NA	NA
chr10	77023604	77023767	6	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr10	77068664	77068729	6	NA	NA	NA	NA	NA	NA	NA	NA	21	9
chr10	77364923	77364972	6	NA	NA	NA	NA	NA	NA	23	9	NA	NA
chr10	77472938	77472981	3	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	77506240	77506311	6	NA	NA	NA	NA	NA	NA	NA	NA	21	6
chr10	77532205	77532264	8	32	9	NA	NA	NA	NA	NA	NA	21	2
chr10	77835691	77835837	9	36	34	25	21	NA	NA	20	17	25	24
chr10	78784923	78784999	6	NA	NA	NA	NA	22	6	NA	NA	NA	NA
chr10	78996351	78996428	8	NA	NA	38	15	NA	NA	NA	NA	23	15
chr10	79209264	79209324	11	NA	NA	NA	NA	NA	NA	NA	NA	33	3
chr10	79264017	79264070	7	NA	NA	NA	NA	35	35	NA	NA	NA	NA
chr10	79316722	79316879	9	NA	NA	NA	NA	27	9	NA	NA	NA	NA
chr10	79390503	79390549	8	NA	NA	NA	NA	NA	NA	NA	NA	24	10
chr10	79502453	79502522	7	25	3	NA	NA	NA	NA	NA	NA	NA	NA
chr10	79516242	79516342	13	NA	NA	NA	NA	NA	NA	NA	NA	61	17
chr10	79578599	79578839	14	NA	NA	NA	NA	NA	NA	31	7	NA	NA
chr10	79600795	79600861	7	NA	NA	NA	NA	NA	NA	NA	NA	29	18
chr10	79777935	79778000	7	NA	NA	NA	NA	NA	NA	24	21	NA	NA
chr10	79792702	79792763	7	NA	NA	24	9	NA	NA	NA	NA	NA	NA
chr10	79845179	79845210	5	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr10	79972493	79972535	5	NA	NA	23	13	NA	NA	NA	NA	NA	NA
chr10	80005448	80005581	8	NA	NA	NA	NA	NA	NA	NA	NA	28	27
chr10	80038958	80039018	8	NA	NA	NA	NA	44	25	NA	NA	NA	NA
chr10	80052897	80052941	11	NA	NA	NA	NA	NA	NA	33	2	NA	NA
chr10	80270124	80270354	21	38	37	39	35	NA	NA	NA	NA	28	28
chr10	80271324	80271483	10	NA	NA	NA	NA	NA	NA	NA	NA	36	24
chr10	80363672	80363924	14	NA	NA	NA	NA	33	8	NA	NA	32	3
chr10	80392480	80392507	8	NA	NA	NA	NA	31	12	NA	NA	NA	NA
chr10	80402122	80402174	5	NA	NA	NA	NA	23	10	NA	NA	NA	NA
chr10	80477685	80477738	5	NA	NA	NA	NA	24	18	NA	NA	NA	NA
chr10	80568515	80568563	7	NA	NA	21	15	NA	NA	NA	NA	NA	NA
chr10	80599903	80600086	11	22	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80630577	80630638	10	NA	NA	NA	NA	50	1	NA	NA	NA	NA
chr10	80636013	80636088	12	NA	NA	20	11	NA	NA	53	5	NA	NA
chr10	80639316	80639356	9	NA	NA	29	3	NA	NA	NA	NA	NA	NA
chr10	80640816	80640945	6	28	26	49	45	29	28	53	47	45	42
chr10	80641455	80641538	6	35	31	31	31	44	40	54	51	39	37
chr10	80641798	80641899	4	21	21	24	23	NA	NA	21	19	NA	NA
chr10	80644967	80645033	4	NA	NA	23	14	NA	NA	24	17	NA	NA
chr10	80707472	80707579	6	NA	NA	NA	NA	21	2	NA	NA	NA	NA
chr10	80729504	80729713	11	NA	NA	NA	NA	NA	NA	NA	NA	42	5
chr10	80935602	80935639	5	20	4	NA	NA	NA	NA	NA	NA	NA	NA
chr10	80958876	80959043	16	NA	NA	NA	NA	23	3	56	1	NA	NA
chr10	81068883	81068943	6	NA	NA	NA	NA	20	4	NA	NA	NA	NA
chr10	81069275	81069421	9	NA	NA	21	2	NA	NA	NA	NA	NA	NA
chr10	81090277	81090302	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr10	81111903	81111985	12	NA	NA	41	16	33	16	NA	NA	45	19
chr10	81590849	81590894	7	NA	NA	NA	NA	21	10	NA	NA	NA	NA
chr10	82092583	82092631	7	NA	NA	NA	NA	NA	NA	NA	NA	21	19
chr10	82162023	82162087	13	NA	NA	NA	NA	50	1	NA	NA	NA	NA
chr10	84379616	84379715	8	NA	NA	NA	NA	24	0	NA	NA	NA	NA
chr10	84607365	84607377	7	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr10	84647992	84648052	8	NA	NA	NA	NA	NA	NA	59	0	NA	NA
chr10	85138749	85138783	7	21	18	NA	NA	NA	NA	NA	NA	NA	NA
chr10	85292090	85292220	10	NA	NA	NA	NA	25	15	NA	NA	NA	NA
chr10	85420180	85420245	9	NA	NA	27	6	NA	NA	43	1	NA	NA
chr10	85420508	85420564	9	NA	NA	NA	NA	NA	NA	27	24	NA	NA
chr10	85484817	85484877	8	NA	NA	NA	NA	NA	NA	24	0	NA	NA
chr10	86148209	86148297	14	NA	NA	NA	NA	56	18	40	7	69	16
chr10	87819690	87819761	7	NA	NA	NA	NA	22	8	NA	NA	NA	NA
chr10	87842637	87842789	8	NA	NA	28	0	NA	NA	NA	NA	NA	NA
chr10	87903491	87903544	5	NA	NA	NA	NA	20	16	NA	NA	NA	NA
chr10	88906673	88906855	14	NA	NA	39	26	NA	NA	NA	NA	NA	NA
chr10	90410531	90410585	8	NA	NA	NA	NA	NA	NA	NA	NA	24	24
chr10	92624015	92624053	8	NA	NA	NA	NA	24	0	NA	NA	NA	NA
chr10	93297234	93297272	5	25	20	NA	NA	NA	NA	NA	NA	NA	NA
chr10	93819732	93819832	7	NA	NA	NA	NA	NA	NA	26	20	NA	NA
chr10	94406409	94406451	7	NA	NA	NA	NA	21	12	NA	NA	NA	NA
chr10	94407985	94408146	9	NA	NA	NA	NA	NA	NA	20	4	NA	NA
chr10	94780176	94780297	5	23	23	NA	NA	NA	NA	NA	NA	NA	NA
chr10	98569539	98569681	30	NA	NA	46	8	103	26	71	36	81	8
chr10	98696291	98696297	3	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr10	101897922	101897965	4	NA	NA	NA	NA	NA	NA	NA	NA	23	4
chr10	104675530	104675566	7	NA	NA	NA	NA	NA	NA	NA	NA	21	19
chr10	105010497	105010529	7	NA	NA	NA	NA	NA	NA	21	18	NA	NA
chr10	105237066	105237130	7	NA	NA	NA	NA	NA	NA	23	22	NA	NA
chr10	105620645	105620793	8	NA	NA	NA	NA	29	27	NA	NA	NA	NA
chr10	107469307	107469329	7	NA	NA	NA	NA	NA	NA	NA	NA	21	20
chr10	107797119	107797255	9	NA	NA	NA	NA	22	3	29	12	NA	NA
chr10	110084436	110084450	7	NA	NA	28	28	NA	NA	NA	NA	NA	NA
chr10	110735721	110735764	6	NA	NA	NA	NA	21	4	NA	NA	NA	NA
chr10	110945196	110945240	7	NA	NA	NA	NA	NA	NA	21	9	NA	NA
chr10	111031622	111031681	5	NA	NA	NA	NA	22	21	NA	NA	NA	NA
chr10	117282985	117283044	13	NA	NA	NA	NA	39	0	NA	NA	NA	NA
chr10	118606148	118606190	6	23	23	NA	NA	NA	NA	NA	NA	NA	NA
chr10	118676255	118676300	5	NA	NA	NA	NA	NA	NA	NA	NA	21	6
chr10	118876146	118876215	7	NA	NA	21	19	NA	NA	NA	NA	NA	NA
chr10	119765315	119765381	6	NA	NA	NA	NA	NA	NA	NA	NA	29	29
chr10	120415483	120415527	7	NA	NA	21	0	NA	NA	NA	NA	NA	NA
chr10	120970574	120970623	4	NA	NA	NA	NA	NA	NA	NA	NA	24	24
chr10	121022332	121022383	9	NA	NA	NA	NA	NA	NA	47	44	NA	NA
chr10	121063533	121063598	7	NA	NA	NA	NA	28	20	NA	NA	NA	NA
chr10	121534755	121534833	6	NA	NA	26	9	NA	NA	NA	NA	NA	NA
chr10	122422360	122422381	6	NA	NA	NA	NA	NA	NA	21	2	NA	NA
chr10	122422823	122422867	10	NA	NA	31	5	NA	NA	NA	NA	NA	NA
chr10	122702154	122702198	11	NA	NA	22	10	NA	NA	NA	NA	33	25
chr10	124825922	124826131	9	NA	NA	NA	NA	NA	NA	NA	NA	24	17
chr10	126486175	126486220	4	NA	NA	NA	NA	NA	NA	NA	NA	20	16
chr10	126558269	126558338	7	NA	NA	24	0	NA	NA	NA	NA	NA	NA
chr10	126725756	126725804	8	NA	NA	NA	NA	NA	NA	NA	NA	32	0
chr10	126776849	126777051	9	NA	NA	NA	NA	NA	NA	NA	NA	30	12
chr10	126946438	126946534	8	NA	NA	NA	NA	NA	NA	NA	NA	21	6
chr10	126949779	126949896	6	NA	NA	NA	NA	21	10	NA	NA	NA	NA
chr10	126959010	126959135	8	NA	NA	NA	NA	30	8	NA	NA	NA	NA
chr10	127008480	127008523	5	NA	NA	NA	NA	NA	NA	NA	NA	21	21
chr10	127105483	127105633	7	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	127452162	127452233	8	NA	NA	NA	NA	38	1	NA	NA	NA	NA
chr10	127631291	127631527	20	NA	NA	51	4	61	18	29	11	NA	NA
chr10	127707553	127707604	9	NA	NA	27	3	NA	NA	NA	NA	NA	NA
chr10	127740224	127740352	7	NA	NA	23	1	NA	NA	NA	NA	NA	NA
chr10	127962688	127962780	10	NA	NA	50	12	NA	NA	NA	NA	NA	NA
chr10	127985964	127986099	7	NA	NA	33	2	NA	NA	NA	NA	NA	NA
chr10	128020593	128020655	5	NA	NA	NA	NA	NA	NA	NA	NA	27	26
chr10	128180988	128181037	7	NA	NA	NA	NA	NA	NA	21	6	NA	NA
chr10	128332785	128332836	5	NA	NA	NA	NA	21	10	NA	NA	NA	NA
chr10	129907355	129907608	10	NA	NA	NA	NA	NA	NA	NA	NA	25	23
chr10	129979100	129979155	6	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr10	129979307	129979402	5	NA	NA	23	0	31	6	NA	NA	NA	NA
chr10	129979557	129979629	7	NA	NA	NA	NA	NA	NA	NA	NA	23	4
chr11	3026970	3027033	3	NA	NA	39	36	47	43	34	31	47	38
chr11	3027399	3027608	6	43	40	77	72	61	61	43	41	98	97
chr11	3029108	3029121	3	NA	NA	NA	NA	NA	NA	NA	NA	23	14
chr11	3029819	3029902	5	39	39	79	79	52	50	54	54	49	46
chr11	3030028	3030091	3	39	39	49	45	33	32	40	40	25	25
chr11	3030894	3031065	4	37	33	63	56	65	55	49	40	59	51
chr11	3031312	3031355	4	NA	NA	NA	NA	NA	NA	NA	NA	22	17
chr11	3031791	3031861	3	NA	NA	26	22	27	20	30	26	20	16
chr11	3032023	3032148	6	36	35	21	21	44	44	27	26	40	39
chr11	3032263	3032474	6	30	25	63	55	51	47	43	38	64	60
chr11	3033107	3033202	3	25	22	42	37	41	36	35	32	40	34
chr11	3034339	3034474	5	NA	NA	25	16	57	39	38	20	25	12
chr11	3034677	3034792	7	93	79	117	96	102	84	76	68	53	38
chr11	3035015	3035131	3	25	8	44	10	32	5	31	5	28	8
chr11	3035355	3035404	3	NA	NA	29	26	33	30	21	21	61	48
chr11	3035688	3036010	10	61	52	66	55	63	49	64	46	45	35
chr11	3036869	3037232	9	70	51	96	74	78	55	83	68	77	55
chr11	3037641	3037694	3	NA	NA	34	18	32	19	21	12	40	25
chr11	3040065	3040230	6	55	36	86	54	64	47	69	52	63	47
chr11	3042375	3042659	7	61	55	117	104	59	51	89	77	111	102
chr11	3042928	3043068	4	36	17	28	14	34	19	28	13	45	23
chr11	3043230	3043308	3	22	20	47	37	47	36	36	30	21	18
chr11	3043636	3044032	8	30	21	67	54	53	37	66	50	48	36
chr11	3044891	3045005	4	32	22	54	40	32	29	29	29	22	17
chr11	3046146	3046288	6	47	40	60	50	53	42	47	40	54	45
chr11	3049570	3049615	3	43	39	45	44	71	68	42	41	56	56
chr11	3049884	3050064	6	47	32	68	48	73	49	92	55	59	47
chr11	3050207	3050438	13	224	191	226	204	225	199	192	178	181	167
chr11	3050559	3050603	3	22	22	NA	NA	NA	NA	NA	NA	NA	NA
chr11	3050707	3051008	14	234	213	236	211	229	212	195	176	261	246
chr11	3052626	3052908	8	30	25	72	62	76	64	69	57	89	76
chr11	3053188	3053251	4	NA	NA	NA	NA	39	14	28	7	22	9
chr11	3053463	3053651	4	NA	NA	28	17	23	15	23	21	NA	NA
chr11	3057807	3057906	9	26	14	22	7	20	8	26	11	39	23
chr11	3058325	3058356	5	NA	NA	22	16	25	16	NA	NA	28	18
chr11	3058630	3058721	4	25	23	25	18	35	33	NA	NA	27	25
chr11	3060014	3060128	3	22	19	45	32	40	33	23	18	36	29
chr11	3063834	3064070	4	32	14	69	30	60	28	59	26	71	31
chr11	3065502	3065732	5	47	40	60	43	60	44	54	42	63	43
chr11	3073761	3073840	6	33	24	44	38	NA	NA	62	53	40	33
chr11	3077380	3077468	3	34	24	26	21	21	14	33	29	34	27
chr11	3078190	3078255	3	NA	NA	34	27	22	15	31	19	27	18
chr11	3079152	3079236	3	21	16	28	24	30	29	23	19	26	23
chr11	3079768	3079826	3	34	19	29	15	39	25	30	20	NA	NA
chr11	3080025	3080073	4	29	19	47	31	57	39	51	26	40	28
chr11	3081392	3081494	3	22	12	37	18	28	19	40	21	29	13
chr11	3084716	3085085	11	125	100	184	156	195	161	168	130	148	113
chr11	3092905	3093388	35	196	160	350	299	262	213	264	228	319	276
chr11	3093431	3093900	30	245	217	298	270	227	183	228	205	353	323
chr11	3102286	3102333	9	27	12	21	8	NA	NA	NA	NA	NA	NA
chr11	3165897	3166012	9	NA	NA	NA	NA	23	0	NA	NA	27	13
chr11	3190716	3190777	10	NA	NA	NA	NA	NA	NA	NA	NA	38	7
chr11	3439068	3439199	12	NA	NA	NA	NA	NA	NA	35	14	NA	NA
chr11	3529370	3529500	8	NA	NA	NA	NA	NA	NA	NA	NA	27	22
chr11	4086579	4086694	9	NA	NA	NA	NA	NA	NA	33	3	NA	NA
chr11	4106950	4107038	7	NA	NA	34	33	NA	NA	NA	NA	NA	NA
chr11	4341020	4341099	10	NA	NA	NA	NA	24	24	33	32	NA	NA
chr11	4604184	4604234	8	NA	NA	NA	NA	NA	NA	24	0	NA	NA
chr11	4998487	4998549	4	NA	NA	22	0	NA	NA	NA	NA	NA	NA
chr11	5000054	5000153	8	NA	NA	NA	NA	27	4	NA	NA	29	6
chr11	5068267	5068683	18	246	178	230	173	264	193	228	156	273	212
chr11	5068699	5069098	17	121	99	142	107	169	132	113	93	126	93
chr11	5069114	5069530	14	88	62	115	85	131	105	84	60	132	97
chr11	5069756	5070124	12	99	75	95	68	115	97	84	59	102	80
chr11	5070156	5070546	14	118	68	113	82	158	99	128	69	109	63
chr11	5084639	5084715	9	43	41	NA	NA	24	22	20	16	NA	NA
chr11	5161973	5162061	8	25	7	NA	NA	NA	NA	NA	NA	NA	NA
chr11	5421509	5421613	8	NA	NA	NA	NA	24	9	NA	NA	NA	NA
chr11	5737709	5737746	6	NA	NA	NA	NA	23	0	NA	NA	NA	NA
chr11	6100391	6100566	9	NA	NA	22	8	NA	NA	NA	NA	NA	NA
chr11	6167383	6167625	9	NA	NA	NA	NA	31	0	NA	NA	NA	NA
chr11	6315968	6316017	5	NA	NA	NA	NA	NA	NA	23	0	NA	NA
chr11	6525811	6525874	10	NA	NA	NA	NA	NA	NA	NA	NA	33	0
chr11	6967915	6968095	8	NA	NA	28	25	NA	NA	NA	NA	NA	NA
chr11	8524161	8524238	10	NA	NA	21	1	NA	NA	47	26	NA	NA
chr11	8564293	8564366	7	NA	NA	27	14	NA	NA	NA	NA	NA	NA
chr11	9050404	9050624	16	48	47	27	27	36	35	NA	NA	NA	NA
chr11	11708746	11708942	20	NA	NA	23	8	NA	NA	28	15	49	25
chr11	18919837	18919893	8	NA	NA	31	9	NA	NA	NA	NA	NA	NA
chr11	19921085	19921115	8	NA	NA	NA	NA	NA	NA	24	24	NA	NA
chr11	20291416	20291473	7	NA	NA	NA	NA	NA	NA	21	20	NA	NA
chr11	20730737	20730779	7	NA	NA	NA	NA	21	2	NA	NA	NA	NA
chr11	22662694	22662730	7	NA	NA	25	24	NA	NA	NA	NA	NA	NA
chr11	22872530	22872602	6	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr11	23020686	23020838	6	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr11	32105266	32105325	6	NA	NA	NA	NA	20	10	NA	NA	NA	NA
chr11	32113279	32113375	11	NA	NA	37	37	26	26	NA	NA	22	22
chr11	32200194	32200256	8	NA	NA	24	10	NA	NA	NA	NA	NA	NA
chr11	32248035	32248167	8	NA	NA	NA	NA	NA	NA	NA	NA	24	2
chr11	32284273	32284544	6	NA	NA	NA	NA	NA	NA	NA	NA	24	24
chr11	33062922	33063061	10	NA	NA	NA	NA	NA	NA	NA	NA	44	28
chr11	34917378	34917427	3	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr11	35281771	35281811	8	NA	NA	NA	NA	24	24	NA	NA	NA	NA
chr11	35611680	35611719	6	NA	NA	22	9	NA	NA	NA	NA	NA	NA
chr11	35647745	35647790	5	NA	NA	20	0	NA	NA	NA	NA	NA	NA
chr11	35860942	35861116	9	NA	NA	29	29	NA	NA	NA	NA	NA	NA
chr11	44433351	44433447	6	NA	NA	20	4	NA	NA	NA	NA	NA	NA
chr11	45665988	45666045	7	NA	NA	NA	NA	21	8	NA	NA	NA	NA
chr11	47354993	47355047	6	21	18	NA	NA	NA	NA	NA	NA	NA	NA
chr11	48639797	48639837	8	NA	NA	NA	NA	NA	NA	26	12	NA	NA
chr11	48671566	48671706	7	NA	NA	26	6	NA	NA	NA	NA	NA	NA
chr11	48917196	48917237	7	NA	NA	21	21	NA	NA	NA	NA	NA	NA
chr11	49057930	49057954	6	NA	NA	27	6	NA	NA	NA	NA	NA	NA
chr11	49063981	49064040	7	NA	NA	NA	NA	NA	NA	NA	NA	21	15
chr11	49526342	49526377	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr11	50038361	50038403	5	NA	NA	NA	NA	25	5	NA	NA	NA	NA
chr11	50038694	50038787	9	NA	NA	NA	NA	25	7	NA	NA	NA	NA
chr11	50050166	50050218	8	NA	NA	NA	NA	NA	NA	25	9	NA	NA
chr11	50173036	50173098	9	NA	NA	NA	NA	26	5	NA	NA	NA	NA
chr11	50191680	50191722	9	NA	NA	28	1	NA	NA	NA	NA	NA	NA
chr11	51502129	51502290	11	NA	NA	NA	NA	20	18	NA	NA	NA	NA
chr11	51912039	51912077	7	NA	NA	NA	NA	21	2	NA	NA	NA	NA
chr11	51980651	51980701	6	NA	NA	23	9	NA	NA	NA	NA	NA	NA
chr11	52097854	52097907	7	NA	NA	NA	NA	24	24	NA	NA	NA	NA
chr11	53412220	53412293	5	NA	NA	NA	NA	NA	NA	22	20	NA	NA
chr11	53520710	53520742	7	NA	NA	NA	NA	NA	NA	21	14	NA	NA
chr11	53573800	53573826	4	NA	NA	NA	NA	21	16	NA	NA	NA	NA
chr11	53704735	53705044	23	28	8	34	4	42	4	40	13	62	3
chr11	53793857	53793906	7	NA	NA	NA	NA	NA	NA	21	12	NA	NA
chr11	54336490	54336649	10	NA	NA	NA	NA	26	3	NA	NA	NA	NA
chr11	54674333	54674356	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0
chr11	55283748	55283891	5	NA	NA	NA	NA	NA	NA	NA	NA	21	4
chr11	57457799	57457832	4	NA	NA	23	13	NA	NA	NA	NA	NA	NA
chr11	58120568	58120628	6	NA	NA	NA	NA	NA	NA	27	0	NA	NA
chr11	58144088	58144140	7	NA	NA	27	18	NA	NA	NA	NA	NA	NA
chr11	58762529	58762836	23	31	8	26	6	NA	NA	68	29	45	20
chr11	58768345	58768642	18	40	5	54	7	42	4	46	7	41	11
chr11	58775461	58775530	8	NA	NA	NA	NA	NA	NA	NA	NA	38	38
chr11	58784585	58784647	7	NA	NA	NA	NA	NA	NA	29	29	NA	NA
chr11	58790919	58790986	9	27	0	NA	NA	NA	NA	NA	NA	NA	NA
chr11	58949117	58949163	9	NA	NA	NA	NA	NA	NA	27	6	NA	NA
chr11	59005343	59005387	8	25	7	NA	NA	NA	NA	NA	NA	NA	NA
chr11	59319619	59319766	9	NA	NA	NA	NA	NA	NA	NA	NA	20	17
chr11	59601105	59601141	6	NA	NA	NA	NA	NA	NA	20	17	NA	NA
chr11	60231352	60231402	9	NA	NA	NA	NA	27	4	NA	NA	NA	NA
